node_key,Bus
107714,0
107676,0
107675,0
107290,2
252,0
253,1
254,1
255,0
256,0
257,1
107674,0
258,1
259,1
107673,0
262,2
107672,0
194033,0
107154,1
107155,0
107176,0
107177,0
107178,0
107460,0
107456,0
107455,0
106906,2
106907,2
107129,2
107076,2
107075,3
114849,4
102592,0
106939,1
106859,0
106860,0
106861,1
194044,1
193725,1
193726,2
193727,0
193728,0
193729,1
193730,1
193731,1
193733,0
193734,0
193738,1
193992,0
193993,0
193994,0
193995,0
193996,0
194018,2
194025,2
194027,2
194028,2
194029,2
194030,2
194031,1
194034,0
194035,0
194036,1
194037,1
194039,0
194040,0
194041,0
194043,1
130105,1
71798,2
71797,2
71796,2
71795,2
66722,0
71821,0
71822,0
71823,0
130106,2
130138,1
130139,1
130140,1
130144,0
130145,1
130148,0
71820,0
