"노드링크 유형","노드 WKT","노드 ID","노드 유형 코드","링크 WKT","링크 ID","링크 유형 코드","시작노드 ID","종료노드 ID","링크 길이","시군구코드","시군구명","읍면동코드","읍면동명","고가도로","지하철네트워크","교량","터널","육교","횡단보도","공원,녹지","건물내"
"LINK","","0","","LINESTRING(126.99039010819189 37.56288057457944,126.99034694647276 37.56317808009708)","110334","1111","122040","122041","33.2390","1114000000","중구","1114015800","충무로3가","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.00951216680602 37.56368369614771,127.00952367813805 37.563775236451505,127.00950069095845 37.5638713565954,127.00949243965594 37.56392243778351)","108144","1011","10034","8141","26.7870","1114000000","중구","1114014600","광희동2가","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.01243183281863 37.56782166887893,127.01246285629891 37.567719927517615)","108149","1011","8597","8594","11.6200","1114000000","중구","1114016200","신당동","0","0","0","0","0","0","0","1"
"LINK","","0","","LINESTRING(127.02220082505572 37.568024016564024,127.02222501179548 37.567801566677424)","108161","1111","9442","9464","24.7820","1114000000","중구","1114016500","황학동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.99782294400448 37.56878587553209,126.99781801180842 37.56873036774781,126.997840199986 37.56860279353918)","110765","1011","6891","6902","20.4700","1114000000","중구","1114015200","주교동","0","0","0","0","0","0","0","1"
"LINK","","0","","LINESTRING(127.0094092673651 37.554087475459376,127.00941213443289 37.55402797333248)","110768","1111","8434","8436","6.6090","1114000000","중구","1114016200","신당동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.98036277531007 37.556271717895726,126.97999769301859 37.55628538781417)","110773","1011","6231","6232","32.2940","1114000000","중구","1114012100","회현동1가","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.99948910311356 37.567044373365604,126.99977373326085 37.56694367895469,126.99974785811773 37.566865868896926)","110782","1011","7442","7430","36.4510","1114000000","중구","1114015000","을지로4가","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.01772909355091 37.569988330424195,127.0176486138564 37.57009361478556)","111429","1111","9081","9082","13.6780","1114000000","중구","1114016300","흥인동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.01410766055375 37.56148349696124,127.01377410426323 37.561073889165414)","108745","1011","8760","8765","54.1780","1114000000","중구","1114016200","신당동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.00546597647435 37.5622085830936,127.00556371943597 37.56217653908845,127.00563271611998 37.562176535816874,127.00577358117087 37.562135335446975,127.00590297046612 37.562396221624766)","109627","1011","7774","71969","59.8250","1114000000","중구","1114014700","쌍림동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.97995302016936 37.553879375115905,126.98037345353583 37.553919106592296)","111505","1000","213958","6173","37.4110","1114000000","중구","1114011800","남대문로5가","0","0","0","0","0","0","1","0"
"LINK","","0","","LINESTRING(127.0110502758945 37.56386664466798,127.0108882206288 37.56394291408675)","106962","1011","10031","8094","16.6330","1114000000","중구","1114016200","신당동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.01967458193113 37.56620050661785,127.01917432263897 37.56617541509709)","109650","1111","9210","9255","44.2840","1114000000","중구","1114016500","황학동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.99030089614719 37.563578569235915,126.99028075211493 37.563729610613706)","169296","1111","122042","9722","16.8580","1114000000","중구","1114016100","저동2가","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.9901910414693 37.568080621190624,126.99027636952502 37.56808765291694,126.99028061369765 37.568088002669654)","110268","1111","6650","211648","7.9560","1114000000","중구","1114011000","수표동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.97847875614212 37.56520925094619,126.97884940898314 37.565985129612294,126.97891551868676 37.56604006615432,126.97904195758073 37.56625978753027)","199893","1111","5963","5962","127.3960","1114000000","중구","1114010400","을지로1가","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.0103564295581 37.55407023217238,127.01067548898014 37.55396035409693)","110200","1111","8377","8370","30.7170","1114000000","중구","1114016200","신당동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.02415103226653 37.561901815247204,127.02415388716949 37.56184002431341,127.02406469398841 37.56161347790551)","110201","1111","165601","165602","33.2130","1114000000","중구","1114016200","신당동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.99041312988321 37.562704359551816,126.99026651357637 37.56268375077475)","110210","1011","122031","6807","13.1540","1114000000","중구","1114015800","충무로3가","0","0","0","0","0","0","0","1"
"LINK","","0","","LINESTRING(127.00423977176982 37.56735022844055,127.00444965773265 37.56746007012643,127.00455891089564 37.567471508604875)","110225","1000","73968","73970","31.9260","1114000000","중구","1114014800","을지로6가","0","0","0","0","0","1","0","0"
"LINK","","0","","LINESTRING(126.9847452738411 37.562745479399126,126.9848879754154 37.56201174925504)","110785","1111","6320","10055","82.4060","1114000000","중구","1114012700","명동2가","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.0054139911395 37.55892225349375,127.0053515758039 37.55885563564389)","110290","1011","211568","212804","9.2240","1114000000","중구","1114014400","장충동2가","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.99813660205518 37.55863515206026,126.99828751827799 37.55860238203757,126.99832776442126 37.55860238261444,126.99850024394776 37.55879919874843,126.99840107002946 37.55895326198615)","108105","1011","7214","7215","63.2260","1114000000","중구","1114014400","장충동2가","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.01064525146009 37.56367861094129,127.01064525146009 37.56367861094129,127.01071421544287 37.563440597493674)","102764","1011","8313","8314","27.1100","1114000000","중구","1114016200","신당동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.01291280861608 37.55151770419948,127.01329660241791 37.551029723043264,127.01331001651744 37.55071872770273,127.01275769926535 37.5502844696735,127.01226597429842 37.54969470580562)","102843","1111","10393","10394","245.5980","1114000000","중구","1114016200","신당동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.0110502758945 37.56386664466798,127.01113077350269 37.563864348575535,127.01115665193794 37.56389180850175,127.01119295940737 37.563917711751515)","109292","1111","10031","74031","15.2340","1114000000","중구","1114016200","신당동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.97729080475187 37.55766602811163,126.97697462283799 37.55755611728457)","109918","1111","6077","6082","30.4840","1114000000","중구","1114011200","남창동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.00451020101356 37.564141287917415,127.00433770676366 37.564175622340485,127.00420833465282 37.56417791555344,127.00407321452535 37.56421453678238)","102787","1111","7740","67266","39.7530","1114000000","중구","1114014700","쌍림동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.9811789995633 37.56838390281432,126.9810467600989 37.56835644845609,126.98058098987225 37.56837239246486,126.98050910283621 37.56840899708185,126.98050618002159 37.568592078912445)","110344","1111","6249","9689","81.1210","1114000000","중구","1114010200","다동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.02019448480092 37.564440539148684,127.02024047840705 37.56441993449813)","110417","1011","9186","9184","4.6630","1114000000","중구","1114016200","신당동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.00929993990138 37.56489164578407,127.00919356123228 37.5648516048346)","110498","1111","8129","8130","10.3960","1114000000","중구","1114014900","을지로7가","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.9678557736077 37.55522533182525,126.96791606749139 37.55519566940148)","111090","1111","14444","14446","6.2630","1114000000","중구","1114017300","만리동1가","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.0094092673651 37.554087475459376,127.00910169151614 37.55409665370752)","111095","1111","8434","8435","27.1970","1114000000","중구","1114016200","신당동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.02080519022698 37.56881381324687,127.02056371565381 37.5689420131654)","111105","1111","72238","115572","25.6430","1114000000","중구","1114016500","황학동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.00608092840221 37.55890162423392,127.00611254638534 37.55885127488217)","109949","1111","7854","72044","6.2480","1114000000","중구","1114014400","장충동2가","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.98557402511815 37.566221338823404,126.98566602435282 37.56622821561848)","111116","1111","10331","6481","8.1640","1114000000","중구","1114010500","을지로2가","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.97320253990308 37.558944460870485,126.97318512581286 37.55940674048338,126.97309600099874 37.55942731700002,126.9730758184166 37.55959208673051)","110594","1011","5828","179103","77.9040","1114000000","중구","1114011900","봉래동1가","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.01873061394451 37.56235592881655,127.01827643054918 37.56254365956174)","110575","1111","9309","9295","45.2150","1114000000","중구","1114016200","신당동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.96767348873279 37.55523680619834,126.96772334024536 37.555290484088566)","111184","1111","14448","14439","7.4090","1114000000","중구","1114017300","만리동1가","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.00590917994346 37.55023833656819,127.00611756978279 37.55018454535826)","109482","1011","7887","7888","19.3580","1114000000","중구","1114016200","신당동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.97363364375758 37.55990704892683,126.97357297769346 37.56008652202211)","109494","1111","23045","23044","20.6280","1114000000","중구","1114011900","봉래동1가","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.97691090101792 37.559107730114654,126.97672979287657 37.55910540602628)","109495","1011","6141","6142","16.0040","1114000000","중구","1114011200","남창동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.00974187160756 37.558647351794285,127.00979651237895 37.5588075445649,127.00982529906851 37.55910733994987)","110040","1111","73226","8359","51.7940","1114000000","중구","1114016200","신당동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.01702962175149 37.56724160092801,127.01687167429712 37.56723535583028)","111242","1111","9254","9250","13.9710","1114000000","중구","1114016300","흥인동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.01595774120507 37.555325963769405,127.01569042369273 37.555422118024424)","109516","1111","8956","8957","25.9190","1114000000","중구","1114016200","신당동","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(126.99872722301645 37.56658208463016,126.99874447454768 37.566501986275036)","109530","1111","7432","7433","9.0200","1114000000","중구","1114015000","을지로4가","0","0","0","0","0","0","0","0"
"LINK","","0","","LINESTRING(127.0072945685554 37.564046174694994,127.0074566662586 37.56435667188374)","109531","1011","9899","9900","37.3190","1114000000","중구","1114014600","광희동2가","0","0","0","0","0","0","0","1"
