node_key,Roadside
107714,0
107676,1
107675,1
107290,0
252,0
253,0
254,1
255,0
256,1
257,1
107674,1
258,0
259,1
107673,2
262,1
107672,1
194033,0
107154,0
107155,0
107176,0
107177,0
107178,0
107460,1
107456,0
107455,0
106906,0
106907,0
107129,0
107076,0
107075,0
114849,0
102592,0
106939,0
106859,0
106860,0
106861,0
194044,0
193725,0
193726,1
193727,0
193728,0
193729,1
193730,0
193731,0
193733,1
193734,1
193738,0
193992,1
193993,1
193994,1
193995,2
193996,1
194018,1
194025,0
194027,0
194028,1
194029,1
194030,0
194031,0
194034,0
194035,0
194036,0
194037,1
194039,0
194040,0
194041,0
194043,1
130105,1
71798,0
71797,0
71796,0
71795,1
66722,0
71821,0
71822,0
71823,0
130106,1
130138,0
130139,0
130140,0
130144,1
130145,0
130148,0
71820,0
