node_key,Alcol
259,0
262,0
278,0
212123,0
193735,0
193739,0
193745,0
193752,0
74331,10
71746,0
74397,1
74396,6
74395,5
74394,1
74393,0
74391,0
71818,0
71817,0
71811,5
71810,6
71809,2
71808,0
71807,2
71806,9
71805,9
71804,2
71803,2
71802,2
71801,6
71800,5
71799,0
71798,0
71797,0
71796,0
71747,0
71748,0
71819,0
71823,2
71824,2
71743,0
78034,2
71812,0
71813,0
71816,0
134571,1
130148,0
130149,4
130150,8
130154,6
130155,6
130156,2
130157,6
130158,6
134568,1
134569,1
134570,1
104660,0
104262,0
104260,0
104259,0
104257,0
104256,1
104254,4
134603,0
130481,0
130480,0
130478,0
130477,0
104253,3
