node_key,Bus
259,0
262,0
278,1
212123,0
193735,4
193739,3
193745,4
193752,4
74331,0
71746,0
74397,0
74396,0
74395,0
74394,0
74393,0
74391,0
71818,0
71817,0
71811,0
71810,0
71809,0
71808,0
71807,0
71806,0
71805,0
71804,0
71803,0
71802,0
71801,1
71800,0
71799,2
71798,2
71797,1
71796,0
71747,0
71748,0
71819,0
71823,0
71824,0
71743,0
78034,1
71812,0
71813,0
71816,0
134571,1
130148,0
130149,0
130150,0
130154,2
130155,2
130156,1
130157,0
130158,1
134568,0
134569,0
134570,1
104660,0
104262,1
104260,1
104259,2
104257,0
104256,0
104254,0
134603,0
130481,0
130480,0
130478,0
130477,0
104253,0
