node_key,cctv
164469,1
93759,2
165581,1
165582,0
165583,0
134146,0
165584,2
127919,0
165585,2
165586,0
93760,1
154123,0
154126,2
93761,4
154155,0
154156,0
93762,1
155336,0
155337,0
155338,2
155364,1
93763,1
155365,0
155366,0
155367,0
93764,1
155368,0
128356,0
155369,0
155370,0
155371,0
155372,0
128355,0
155373,0
155374,1
152108,2
93765,1
152109,1
152110,0
141882,2
152111,1
152112,1
152113,1
141881,1
152114,1
152117,1
152118,1
152278,0
152286,0
152895,0
152896,0
152897,1
152898,1
152899,2
152900,1
152903,0
152904,0
94812,0
152905,0
152906,0
152907,0
152908,2
152909,2
152910,2
152911,0
99492,0
152914,0
152915,0
99493,0
165587,0
99494,0
165588,0
165589,0
152499,2
165590,1
165591,1
165592,1
152500,2
152501,2
152502,2
152505,3
152506,0
152507,2
152508,2
134145,0
152509,2
152510,0
152511,0
152512,0
152513,0
152514,0
152515,1
152516,1
152517,1
152518,0
152519,0
152520,1
152521,0
152522,1
152523,1
152525,1
152526,1
175185,2
175186,0
175195,0
175196,2
132996,0
175197,0
175199,0
152527,1
152528,1
152529,1
152530,0
152531,1
152532,1
152533,1
152534,1
152535,1
152536,2
166977,0
166980,0
166982,0
152537,0
152538,1
152539,1
152540,1
152541,0
152542,1
152543,0
152544,1
152545,1
152546,1
152547,1
152548,0
152549,1
166983,0
166984,0
166986,0
152550,0
152551,0
152552,0
152553,0
166987,0
166989,0
166994,0
166997,0
132888,0
167273,0
167274,1
167277,0
167278,0
167279,0
167280,0
167000,0
167001,0
133913,1
167281,1
128473,0
167282,0
99510,0
167283,2
167284,0
167285,0
167286,0
133879,1
167287,1
167288,1
167005,0
167289,1
167290,1
155801,0
167292,2
155802,2
133878,1
155803,1
167293,1
167294,1
167295,1
132825,0
167009,0
167011,2
167012,2
167296,3
167298,0
133366,0
167299,0
155804,2
155805,0
167300,0
129496,1
155806,0
155807,1
155808,1
132065,0
167019,0
132001,0
155809,1
155810,2
167021,1
167022,1
167023,0
167024,0
131003,0
134119,0
167025,0
167026,0
133015,0
167027,0
131958,0
167028,0
167029,0
167030,0
133441,1
167031,0
167032,1
130854,0
167033,1
167034,1
130853,0
167035,0
167036,0
167532,2
167533,0
167037,1
130852,0
161151,0
165750,0
86668,0
162233,2
166781,0
162234,1
162235,1
162236,0
162237,0
162239,0
162240,0
162241,0
162242,1
162243,1
155189,0
152590,0
152591,1
155192,0
155197,0
136369,0
155198,0
155199,0
155200,0
155201,0
152593,0
155202,0
152595,0
155203,0
155204,0
163311,0
152119,0
152121,0
152596,0
152597,0
152598,1
152122,0
152599,1
152123,0
140157,0
152124,0
152125,1
152126,1
152127,0
152128,1
152600,1
152601,1
152151,1
152152,1
154032,1
154033,2
154035,0
154036,0
164485,1
167038,2
163342,1
163378,0
152021,1
93726,0
99684,2
152022,1
152023,0
163379,0
163380,0
163381,0
192689,1
163382,0
163383,0
155517,2
155518,2
155519,3
155520,1
99524,0
155521,1
155522,1
155523,2
155524,2
155525,1
155526,0
155527,1
155528,1
155529,3
155530,0
155531,0
155532,1
155533,0
155534,0
155535,0
155536,1
155537,1
155538,1
155539,3
155540,0
155541,0
155542,1
155543,1
155544,1
155545,2
155546,2
155547,1
155548,1
93723,3
155549,2
167039,0
167040,0
167054,0
167055,0
167062,0
167068,0
93720,1
93719,0
93718,1
163357,0
163358,0
164488,0
167090,0
167091,0
167092,0
167093,0
155622,1
155623,2
167094,0
99526,0
167095,0
167096,0
167097,2
167098,0
167099,0
167100,0
167101,0
167102,1
167103,1
167104,1
155645,2
76272,0
155646,2
155648,1
155649,1
155650,1
155651,1
155652,1
155653,1
155654,1
155684,1
155685,1
155686,1
155690,1
152432,0
152434,0
152435,1
152436,0
152437,0
152438,0
152439,0
152447,0
152448,0
152449,1
152450,1
152451,1
152452,1
152453,1
152454,1
152455,1
152456,1
152457,1
152458,1
99499,0
152459,1
192637,2
152460,0
152461,0
152462,1
152463,1
152464,0
152465,2
152466,1
152467,0
152468,0
152469,1
152470,1
152471,0
152472,1
152473,0
152474,0
152475,0
152476,0
152477,0
152478,0
152479,0
152482,0
152483,0
94803,1
152484,0
152485,0
152486,0
152487,1
94804,1
152488,1
152489,1
152490,1
152491,1
152492,0
153577,0
153578,0
153579,0
153580,0
153582,0
153584,0
132995,0
165577,2
166668,0
166687,0
167314,1
167315,2
167316,2
167317,2
167318,2
167319,2
167320,1
167321,0
167322,0
167323,0
167324,1
167325,1
167326,0
167327,0
167328,0
167330,0
167331,0
15976,1
167332,1
99393,0
167333,0
167335,0
167336,3
167337,1
167341,0
167342,5
167343,1
167344,0
167345,0
167347,1
127871,2
167348,0
167352,0
167353,0
167354,1
167355,1
167356,0
167357,0
167358,0
167359,0
167360,0
167361,0
97548,2
166688,0
167366,1
166689,0
167105,0
167106,1
167107,1
99659,2
167108,1
155713,2
167109,1
167110,1
167111,1
167112,0
167113,0
167114,0
167115,0
167187,1
167116,2
155722,0
166690,2
146078,0
155723,0
155724,0
15995,2
155725,2
15996,2
146077,0
157296,1
167159,0
167160,0
167161,2
167162,2
165790,0
165791,0
133943,1
166842,2
137420,0
93732,0
93733,0
93734,2
93735,2
93736,1
93737,1
93738,1
93739,1
93740,1
135459,0
147599,0
93741,3
93742,1
93743,2
93744,2
93745,0
93746,1
93747,2
152493,2
93748,2
93749,1
149136,0
93750,1
93751,2
93752,2
93753,2
93754,1
152494,2
93755,2
152495,2
129906,3
152496,1
128792,0
134460,0
134459,0
128297,0
93756,2
93757,2
129133,0
152497,2
93758,2
152498,2
165578,2
167163,3
167164,2
167412,0
167413,0
167414,2
167415,3
167416,2
167417,2
167418,4
167419,3
167420,1
167421,0
167422,0
167423,2
167424,2
167425,0
167165,2
167166,1
167167,0
167168,0
167169,0
167170,2
167171,0
153130,1
153131,1
153132,1
153133,1
153152,0
153153,0
153154,0
153155,0
153156,1
153157,0
153158,1
153159,0
167172,1
155394,1
155397,1
155398,2
155399,3
155400,0
155404,0
174006,1
155405,2
155406,0
155407,2
155408,2
155409,1
155410,0
152962,5
152963,2
152964,0
152969,0
152970,0
153025,0
153026,0
153027,1
153028,0
167175,1
155411,3
155412,0
155413,0
155414,0
155418,0
155419,1
155420,1
155421,1
155423,1
155424,2
155425,2
167176,0
16179,2
151705,0
154037,0
154038,0
154039,0
154040,0
154042,0
154043,0
154044,1
154045,1
154046,1
154047,0
154048,0
154049,0
154050,0
154051,0
154052,1
154053,1
154054,1
154055,1
154056,2
154057,2
167177,1
154058,2
154059,2
154060,2
154061,2
154062,0
154063,0
154064,1
154065,0
154066,1
154067,1
154068,1
154069,1
167178,1
165579,2
167179,0
167180,1
167181,0
167182,0
165540,1
165541,2
165542,2
16170,1
167183,1
167184,1
165543,1
165544,0
152024,0
167185,0
167186,0
167188,0
167191,0
167192,0
167194,1
167195,1
167196,0
152858,1
152859,1
152860,1
152866,1
152867,0
152868,1
152869,1
152870,1
152871,1
16174,2
152872,0
152873,0
152874,0
152875,0
152876,2
153166,0
153167,0
153168,0
153179,0
153180,0
16173,0
153181,0
153182,0
152888,4
152889,2
152890,4
152891,4
152892,2
152893,2
152894,2
165580,2
153029,0
153030,1
153031,0
153032,1
153033,1
153034,0
153185,0
153186,0
153187,0
153188,0
153189,0
11159,0
153190,1
153191,1
153192,1
153193,1
153194,0
153197,0
153198,0
153199,0
153201,1
153202,2
153203,0
153204,0
153205,0
153207,0
153208,0
153209,0
153210,1
153211,2
153212,2
153213,2
153214,0
153215,1
153216,1
153217,0
153035,1
153036,1
153037,1
153038,1
153039,1
153040,0
153041,1
153042,1
153043,1
153044,0
153045,1
153046,1
153047,0
166574,0
153058,0
153059,0
153060,0
153061,0
153062,0
153064,1
153065,1
153066,1
153067,0
153068,0
153069,0
153070,0
153071,0
153072,0
153073,0
153074,1
153075,0
155324,1
155325,1
155326,0
155327,0
155330,1
155331,1
155332,0
155333,0
155334,0
155335,0
