node_key,cctv,Roadside,Children,Alcol,Bus
259,0,2,0,0,0
262,0,2,0,0,0
278,0,2,0,0,1
212123,0,0,0,0,0
193735,0,0,0,0,4
193739,0,0,0,0,3
193745,0,0,0,0,4
193752,0,0,0,0,4
74331,0,0,0,10,0
71746,0,0,0,0,0
74397,0,0,0,1,0
74396,0,0,0,6,0
74395,0,0,0,5,0
74394,0,0,0,1,0
74393,0,0,0,0,0
74391,0,0,0,0,0
71818,0,0,0,0,0
71817,0,0,0,0,0
71811,0,0,0,5,0
71810,0,0,0,6,0
71809,0,0,0,2,0
71808,0,0,0,0,0
71807,0,0,0,2,0
71806,0,0,0,9,0
71805,0,0,0,9,0
71804,0,0,0,2,0
71803,0,0,0,2,0
71802,0,0,0,2,0
71801,0,0,0,6,1
71800,0,0,0,5,0
71799,0,0,0,0,2
71798,0,0,0,0,2
71797,0,0,0,0,1
71796,0,0,0,0,0
71747,0,0,0,0,0
71748,0,0,0,0,0
71819,0,0,0,0,0
71823,0,0,0,2,0
71824,0,0,0,2,0
71743,0,0,0,0,0
78034,0,0,0,2,1
71812,0,0,0,0,0
71813,0,0,0,0,0
71816,0,0,0,0,0
134571,0,0,0,1,1
130148,0,0,0,0,0
130149,0,0,0,4,0
130150,0,0,0,8,0
130154,0,0,0,6,2
130155,0,0,0,6,2
130156,0,0,0,2,1
130157,0,0,0,6,0
130158,0,0,0,6,1
134568,0,0,0,1,0
134569,0,0,0,1,0
134570,0,0,0,1,1
104660,0,0,0,0,0
104262,0,0,0,0,1
104260,0,0,0,0,1
104259,0,0,0,0,2
104257,0,0,0,0,0
104256,0,0,0,1,0
104254,0,0,0,4,0
134603,0,0,0,0,0
130481,0,1,0,0,0
130480,0,1,0,0,0
130478,0,1,0,0,0
130477,0,1,0,0,0
104253,0,0,0,3,0
